B fraction,N fraction,O fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,frac s valence electrons,frac p valence electrons
0.5,0.5,0.0,12.408850000000001,14.0,2.0,2.0,6.0,0.19999999999999996,0.75,1.0,2.5400000000000005,2.0,2.0,0.5,0.5
0.5,0.5,0.0,12.408850000000001,14.0,2.0,2.0,6.0,0.19999999999999996,0.75,1.0,2.5400000000000005,2.0,2.0,0.5,0.5
0.3333333333333333,0.6666666666666666,0.0,12.941466666666665,14.333333333333334,2.0,2.0,6.333333333333333,0.19999999999999996,0.7166666666666667,1.0,2.706666666666667,2.0,2.3333333333333335,0.46153846153846156,0.5384615384615385
0.3333333333333333,0.6666666666666666,0.0,12.941466666666665,14.333333333333334,2.0,2.0,6.333333333333333,0.19999999999999996,0.7166666666666667,1.0,2.706666666666667,2.0,2.3333333333333335,0.46153846153846156,0.5384615384615385
0.5,0.0,0.5,13.405199999999999,14.5,2.0,3.0,6.5,0.25,0.725,1.4,2.74,2.0,2.5,0.4444444444444444,0.5555555555555556
0.5,0.0,0.5,13.405199999999999,14.5,2.0,3.0,6.5,0.25,0.725,1.4,2.74,2.0,2.5,0.4444444444444444,0.5555555555555556
0.6666666666666666,0.3333333333333333,0.0,11.876233333333333,13.666666666666666,2.0,2.0,5.666666666666667,0.19999999999999996,0.7833333333333333,1.0,2.3733333333333335,2.0,1.6666666666666667,0.5454545454545455,0.4545454545454546
0.6666666666666666,0.3333333333333333,0.0,11.876233333333333,13.666666666666666,2.0,2.0,5.666666666666667,0.19999999999999996,0.7833333333333333,1.0,2.3733333333333335,2.0,1.6666666666666667,0.5454545454545455,0.4545454545454546
0.8333333333333334,0.0,0.16666666666666666,11.675733333333334,13.5,2.0,3.0,5.5,0.25,0.8083333333333332,1.4,2.273333333333333,2.0,1.5,0.5714285714285714,0.42857142857142855
0.8333333333333334,0.0,0.16666666666666666,11.675733333333334,13.5,2.0,3.0,5.5,0.25,0.8083333333333332,1.4,2.273333333333333,2.0,1.5,0.5714285714285714,0.42857142857142855
0.16666666666666666,0.0,0.8333333333333334,15.134666666666666,15.5,2.0,3.0,7.5,0.25,0.6416666666666667,1.4,3.2066666666666666,2.0,3.5,0.36363636363636365,0.6363636363636364
0.8333333333333334,0.16666666666666666,0.0,11.343616666666668,13.333333333333334,2.0,2.0,5.333333333333333,0.19999999999999996,0.8166666666666668,1.0,2.2066666666666666,2.0,1.3333333333333333,0.6,0.39999999999999997
0.8333333333333334,0.16666666666666666,0.0,11.343616666666668,13.333333333333334,2.0,2.0,5.333333333333333,0.19999999999999996,0.8166666666666668,1.0,2.2066666666666666,2.0,1.3333333333333333,0.6,0.39999999999999997
0.6666666666666666,0.0,0.3333333333333333,12.540466666666667,14.0,2.0,3.0,6.0,0.25,0.7666666666666666,1.4,2.5066666666666664,2.0,2.0,0.5,0.5
0.0,0.6666666666666666,0.3333333333333333,14.670933333333332,15.333333333333334,2.0,1.0,7.333333333333333,0.050000000000000044,0.6333333333333333,0.3999999999999999,3.1733333333333333,2.0,3.3333333333333335,0.375,0.6250000000000001
0.3333333333333333,0.0,0.6666666666666666,14.269933333333332,15.0,2.0,3.0,7.0,0.25,0.6833333333333332,1.4,2.973333333333333,2.0,3.0,0.4,0.6
0.5,0.16666666666666666,0.3333333333333333,13.073083333333335,14.333333333333334,2.0,3.0,6.333333333333333,0.25,0.7333333333333333,1.4,2.6733333333333333,2.0,2.3333333333333335,0.46153846153846156,0.5384615384615385
0.5,0.16666666666666666,0.3333333333333333,13.073083333333335,14.333333333333334,2.0,3.0,6.333333333333333,0.25,0.7333333333333333,1.4,2.6733333333333333,2.0,2.3333333333333335,0.46153846153846156,0.5384615384615385
0.3333333333333333,0.3333333333333333,0.3333333333333333,13.6057,14.666666666666666,2.0,3.0,6.666666666666667,0.25,0.7000000000000001,1.4,2.84,2.0,2.6666666666666665,0.42857142857142855,0.5714285714285714
0.6666666666666666,0.16666666666666666,0.16666666666666666,12.208350000000001,13.833333333333334,2.0,3.0,5.833333333333333,0.25,0.7749999999999999,1.4,2.44,2.0,1.8333333333333333,0.5217391304347826,0.47826086956521735
0.6666666666666666,0.16666666666666666,0.16666666666666666,12.208350000000001,13.833333333333334,2.0,3.0,5.833333333333333,0.25,0.7749999999999999,1.4,2.44,2.0,1.8333333333333333,0.5217391304347826,0.47826086956521735
0.3333333333333333,0.16666666666666666,0.5,13.937816666666668,14.833333333333334,2.0,3.0,6.833333333333333,0.25,0.6916666666666668,1.4,2.9066666666666667,2.0,2.8333333333333335,0.4137931034482759,0.5862068965517242
0.5,0.3333333333333333,0.16666666666666666,12.740966666666665,14.166666666666666,2.0,3.0,6.166666666666667,0.25,0.7416666666666666,1.4,2.6066666666666665,2.0,2.1666666666666665,0.48,0.5199999999999999
0.5,0.3333333333333333,0.16666666666666666,12.740966666666665,14.166666666666666,2.0,3.0,6.166666666666667,0.25,0.7416666666666666,1.4,2.6066666666666665,2.0,2.1666666666666665,0.48,0.5199999999999999
0.8,0.2,0.0,11.450140000000001,13.4,2.0,2.0,5.4,0.19999999999999996,0.8099999999999999,1.0,2.2399999999999998,2.0,1.4,0.5882352941176471,0.4117647058823529
0.8,0.2,0.0,11.450140000000001,13.4,2.0,2.0,5.4,0.19999999999999996,0.8099999999999999,1.0,2.2399999999999998,2.0,1.4,0.5882352941176471,0.4117647058823529
